"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"25-29 years"	"25-29"	22	234285878	0.0	0.0	0.0	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"30-34 years"	"30-34"	34	229872405	0.0	0.0	0.0	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"35-39 years"	"35-39"	54	230611430	0.0	0.0	0.0	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"40-44 years"	"40-44"	85	232968123	0.0	0.0	0.0	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"45-49 years"	"45-49"	131	232932105	0.1	0.0	0.1	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"50-54 years"	"50-54"	203	223575070	0.1	0.1	0.1	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"55-59 years"	"55-59"	264	201411886	0.1	0.1	0.1	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"60-64 years "	"60-64"	349	168055475	0.2	0.2	0.2	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"65-69 years"	"65-69"	474	133793292	0.4	0.3	0.4	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"70-74 years"	"70-74"	744	102736281	0.7	0.7	0.8	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"75-79 years"	"75-79"	1049	75129413	1.4	1.3	1.5	0.0	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"80-84 years"	"80-84"	1225	49947616	2.5	2.3	2.6	0.1	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"85-89 years"	"85-89"	1193	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"90-94 years"	"90-94"	690	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"95-99 years"	"95-99"	204	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	"100+ years"	"100+"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"< 1 year"	"1"	981	44436653	2.2	2.1	2.3	0.1	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"1-4 years"	"1-4"	42	178140207	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"5-9 years"	"5-9"	23	226500076	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"10-14 years"	"10-14"	30	234284030	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"15-19 years"	"15-19"	35	239483577	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"20-24 years"	"20-24"	51	239951389	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"25-29 years"	"25-29"	60	234285878	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"30-34 years"	"30-34"	79	229872405	0.0	0.0	0.0	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"35-39 years"	"35-39"	112	230611430	0.0	0.0	0.1	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"40-44 years"	"40-44"	251	232968123	0.1	0.1	0.1	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"45-49 years"	"45-49"	418	232932105	0.2	0.2	0.2	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"50-54 years"	"50-54"	774	223575070	0.3	0.3	0.4	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"55-59 years"	"55-59"	1114	201411886	0.6	0.5	0.6	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"60-64 years "	"60-64"	1459	168055475	0.9	0.8	0.9	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"65-69 years"	"65-69"	1832	133793292	1.4	1.3	1.4	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"70-74 years"	"70-74"	2443	102736281	2.4	2.3	2.5	0.0	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"75-79 years"	"75-79"	2651	75129413	3.5	3.4	3.7	0.1	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"80-84 years"	"80-84"	2624	49947616	5.3	5.1	5.5	0.1	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"85-89 years"	"85-89"	1964	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"90-94 years"	"90-94"	912	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"95-99 years"	"95-99"	204	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Acute vascular disorders of intestine"	"K55.0"	"100+ years"	"100+"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"45-49 years"	"45-49"	27	232932105	0.0	0.0	0.0	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"50-54 years"	"50-54"	42	223575070	0.0	0.0	0.0	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"55-59 years"	"55-59"	66	201411886	0.0	0.0	0.0	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"60-64 years "	"60-64"	126	168055475	0.1	0.1	0.1	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"65-69 years"	"65-69"	192	133793292	0.1	0.1	0.2	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"70-74 years"	"70-74"	242	102736281	0.2	0.2	0.3	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"75-79 years"	"75-79"	239	75129413	0.3	0.3	0.4	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"80-84 years"	"80-84"	249	49947616	0.5	0.4	0.6	0.0	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"85-89 years"	"85-89"	203	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"90-94 years"	"90-94"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Chronic vascular disorders of intestine"	"K55.1"	"95-99 years"	"95-99"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Angiodysplasia of colon"	"K55.2"	"65-69 years"	"65-69"	17	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Angiodysplasia of colon"	"K55.2"	"70-74 years"	"70-74"	32	102736281	0.0	0.0	0.0	0.0	0.0%
	"Angiodysplasia of colon"	"K55.2"	"75-79 years"	"75-79"	53	75129413	0.1	0.1	0.1	0.0	0.0%
	"Angiodysplasia of colon"	"K55.2"	"80-84 years"	"80-84"	101	49947616	0.2	0.2	0.2	0.0	0.0%
	"Angiodysplasia of colon"	"K55.2"	"85-89 years"	"85-89"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Angiodysplasia of colon"	"K55.2"	"90-94 years"	"90-94"	59	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Angiodysplasia of colon"	"K55.2"	"95-99 years"	"95-99"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"< 1 year"	"1"	97	44436653	0.2	0.2	0.3	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"1-4 years"	"1-4"	22	178140207	0.0	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"5-9 years"	"5-9"	10	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"10-14 years"	"10-14"	20	234284030	0.0	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"15-19 years"	"15-19"	40	239483577	0.0	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"20-24 years"	"20-24"	89	239951389	0.0	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"25-29 years"	"25-29"	80	234285878	0.0	0.0	0.0	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"30-34 years"	"30-34"	125	229872405	0.1	0.0	0.1	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"35-39 years"	"35-39"	219	230611430	0.1	0.1	0.1	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"40-44 years"	"40-44"	383	232968123	0.2	0.1	0.2	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"45-49 years"	"45-49"	789	232932105	0.3	0.3	0.4	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"50-54 years"	"50-54"	1551	223575070	0.7	0.7	0.7	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"55-59 years"	"55-59"	2432	201411886	1.2	1.2	1.3	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"60-64 years "	"60-64"	3642	168055475	2.2	2.1	2.2	0.0	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"65-69 years"	"65-69"	4677	133793292	3.5	3.4	3.6	0.1	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"70-74 years"	"70-74"	6077	102736281	5.9	5.8	6.1	0.1	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"75-79 years"	"75-79"	7316	75129413	9.7	9.5	10.0	0.1	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"80-84 years"	"80-84"	7769	49947616	15.6	15.2	15.9	0.2	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"85-89 years"	"85-89"	6381	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"90-94 years"	"90-94"	3179	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"95-99 years"	"95-99"	865	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Vascular disorder of intestine, unspecified"	"K55.9"	"100+ years"	"100+"	116	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Paralytic ileus"	"K56.0"	"40-44 years"	"40-44"	11	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"45-49 years"	"45-49"	10	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"50-54 years"	"50-54"	18	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"55-59 years"	"55-59"	20	201411886	0.0	0.0	0.0	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"60-64 years "	"60-64"	43	168055475	0.0	0.0	0.0	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"65-69 years"	"65-69"	59	133793292	0.0	0.0	0.1	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"70-74 years"	"70-74"	66	102736281	0.1	0.0	0.1	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"75-79 years"	"75-79"	105	75129413	0.1	0.1	0.2	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"80-84 years"	"80-84"	114	49947616	0.2	0.2	0.3	0.0	0.0%
	"Paralytic ileus"	"K56.0"	"85-89 years"	"85-89"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Paralytic ileus"	"K56.0"	"90-94 years"	"90-94"	68	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Paralytic ileus"	"K56.0"	"95-99 years"	"95-99"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intussusception"	"K56.1"	"< 1 year"	"1"	70	44436653	0.2	0.1	0.2	0.0	0.0%
	"Intussusception"	"K56.1"	"1-4 years"	"1-4"	24	178140207	0.0	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"55-59 years"	"55-59"	10	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"60-64 years "	"60-64"	16	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"65-69 years"	"65-69"	10	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"70-74 years"	"70-74"	13	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"75-79 years"	"75-79"	18	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Intussusception"	"K56.1"	"80-84 years"	"80-84"	18	49947616	Unreliable	0.0	0.1	0.0	0.0%
	"Intussusception"	"K56.1"	"85-89 years"	"85-89"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intussusception"	"K56.1"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Volvulus"	"K56.2"	"< 1 year"	"1"	168	44436653	0.4	0.3	0.4	0.0	0.0%
	"Volvulus"	"K56.2"	"1-4 years"	"1-4"	104	178140207	0.1	0.0	0.1	0.0	0.0%
	"Volvulus"	"K56.2"	"5-9 years"	"5-9"	49	226500076	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"10-14 years"	"10-14"	40	234284030	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"15-19 years"	"15-19"	62	239483577	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"20-24 years"	"20-24"	60	239951389	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"25-29 years"	"25-29"	44	234285878	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"30-34 years"	"30-34"	39	229872405	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"35-39 years"	"35-39"	66	230611430	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"40-44 years"	"40-44"	80	232968123	0.0	0.0	0.0	0.0	0.0%
	"Volvulus"	"K56.2"	"45-49 years"	"45-49"	119	232932105	0.1	0.0	0.1	0.0	0.0%
	"Volvulus"	"K56.2"	"50-54 years"	"50-54"	169	223575070	0.1	0.1	0.1	0.0	0.0%
	"Volvulus"	"K56.2"	"55-59 years"	"55-59"	227	201411886	0.1	0.1	0.1	0.0	0.0%
	"Volvulus"	"K56.2"	"60-64 years "	"60-64"	306	168055475	0.2	0.2	0.2	0.0	0.0%
	"Volvulus"	"K56.2"	"65-69 years"	"65-69"	405	133793292	0.3	0.3	0.3	0.0	0.0%
	"Volvulus"	"K56.2"	"70-74 years"	"70-74"	606	102736281	0.6	0.5	0.6	0.0	0.0%
	"Volvulus"	"K56.2"	"75-79 years"	"75-79"	900	75129413	1.2	1.1	1.3	0.0	0.0%
	"Volvulus"	"K56.2"	"80-84 years"	"80-84"	1279	49947616	2.6	2.4	2.7	0.1	0.0%
	"Volvulus"	"K56.2"	"85-89 years"	"85-89"	1292	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Volvulus"	"K56.2"	"90-94 years"	"90-94"	831	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Volvulus"	"K56.2"	"95-99 years"	"95-99"	217	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Volvulus"	"K56.2"	"100+ years"	"100+"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gallstone ileus"	"K56.3"	"65-69 years"	"65-69"	12	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Gallstone ileus"	"K56.3"	"70-74 years"	"70-74"	19	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Gallstone ileus"	"K56.3"	"75-79 years"	"75-79"	21	75129413	0.0	0.0	0.0	0.0	0.0%
	"Gallstone ileus"	"K56.3"	"80-84 years"	"80-84"	39	49947616	0.1	0.1	0.1	0.0	0.0%
	"Gallstone ileus"	"K56.3"	"85-89 years"	"85-89"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gallstone ileus"	"K56.3"	"90-94 years"	"90-94"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other impaction of intestine"	"K56.4"	"20-24 years"	"20-24"	12	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"25-29 years"	"25-29"	12	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"30-34 years"	"30-34"	16	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"35-39 years"	"35-39"	21	230611430	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"40-44 years"	"40-44"	24	232968123	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"45-49 years"	"45-49"	36	232932105	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"50-54 years"	"50-54"	42	223575070	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"55-59 years"	"55-59"	51	201411886	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"60-64 years "	"60-64"	37	168055475	0.0	0.0	0.0	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"65-69 years"	"65-69"	51	133793292	0.0	0.0	0.1	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"70-74 years"	"70-74"	64	102736281	0.1	0.0	0.1	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"75-79 years"	"75-79"	97	75129413	0.1	0.1	0.2	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"80-84 years"	"80-84"	131	49947616	0.3	0.2	0.3	0.0	0.0%
	"Other impaction of intestine"	"K56.4"	"85-89 years"	"85-89"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other impaction of intestine"	"K56.4"	"90-94 years"	"90-94"	79	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other impaction of intestine"	"K56.4"	"95-99 years"	"95-99"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"5-9 years"	"5-9"	12	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"15-19 years"	"15-19"	13	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"20-24 years"	"20-24"	15	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"30-34 years"	"30-34"	14	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"35-39 years"	"35-39"	18	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"40-44 years"	"40-44"	46	232968123	0.0	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"45-49 years"	"45-49"	55	232932105	0.0	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"50-54 years"	"50-54"	87	223575070	0.0	0.0	0.0	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"55-59 years"	"55-59"	97	201411886	0.0	0.0	0.1	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"60-64 years "	"60-64"	149	168055475	0.1	0.1	0.1	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"65-69 years"	"65-69"	189	133793292	0.1	0.1	0.2	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"70-74 years"	"70-74"	262	102736281	0.3	0.2	0.3	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"75-79 years"	"75-79"	374	75129413	0.5	0.4	0.5	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"80-84 years"	"80-84"	520	49947616	1.0	1.0	1.1	0.0	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"85-89 years"	"85-89"	452	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"90-94 years"	"90-94"	282	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"95-99 years"	"95-99"	91	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Intestinal adhesions [bands] with obstruction"	"K56.5"	"100+ years"	"100+"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"< 1 year"	"1"	82	44436653	0.2	0.1	0.2	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"1-4 years"	"1-4"	47	178140207	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"5-9 years"	"5-9"	49	226500076	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"10-14 years"	"10-14"	57	234284030	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"15-19 years"	"15-19"	78	239483577	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"20-24 years"	"20-24"	102	239951389	0.0	0.0	0.1	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"25-29 years"	"25-29"	117	234285878	0.0	0.0	0.1	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"30-34 years"	"30-34"	145	229872405	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"35-39 years"	"35-39"	200	230611430	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"40-44 years"	"40-44"	328	232968123	0.1	0.1	0.2	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"45-49 years"	"45-49"	482	232932105	0.2	0.2	0.2	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"50-54 years"	"50-54"	762	223575070	0.3	0.3	0.4	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"55-59 years"	"55-59"	1270	201411886	0.6	0.6	0.7	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"60-64 years "	"60-64"	1811	168055475	1.1	1.0	1.1	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"65-69 years"	"65-69"	2366	133793292	1.8	1.7	1.8	0.0	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"70-74 years"	"70-74"	3523	102736281	3.4	3.3	3.5	0.1	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"75-79 years"	"75-79"	4939	75129413	6.6	6.4	6.8	0.1	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"80-84 years"	"80-84"	6767	49947616	13.5	13.2	13.9	0.2	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"85-89 years"	"85-89"	7172	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"90-94 years"	"90-94"	4867	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"95-99 years"	"95-99"	1488	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified intestinal obstruction"	"K56.6"	"100+ years"	"100+"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Ileus, unspecified"	"K56.7"	"20-24 years"	"20-24"	10	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"30-34 years"	"30-34"	17	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"35-39 years"	"35-39"	33	230611430	0.0	0.0	0.0	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"40-44 years"	"40-44"	41	232968123	0.0	0.0	0.0	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"45-49 years"	"45-49"	48	232932105	0.0	0.0	0.0	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"50-54 years"	"50-54"	111	223575070	0.0	0.0	0.1	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"55-59 years"	"55-59"	160	201411886	0.1	0.1	0.1	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"60-64 years "	"60-64"	248	168055475	0.1	0.1	0.2	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"65-69 years"	"65-69"	336	133793292	0.3	0.2	0.3	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"70-74 years"	"70-74"	456	102736281	0.4	0.4	0.5	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"75-79 years"	"75-79"	573	75129413	0.8	0.7	0.8	0.0	0.0%
	"Ileus, unspecified"	"K56.7"	"80-84 years"	"80-84"	736	49947616	1.5	1.4	1.6	0.1	0.0%
	"Ileus, unspecified"	"K56.7"	"85-89 years"	"85-89"	647	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Ileus, unspecified"	"K56.7"	"90-94 years"	"90-94"	382	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Ileus, unspecified"	"K56.7"	"95-99 years"	"95-99"	111	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Ileus, unspecified"	"K56.7"	"100+ years"	"100+"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Diverticular disease of small intestine with perforation and abscess"	"K57.0"	"75-79 years"	"75-79"	16	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Diverticular disease of small intestine with perforation and abscess"	"K57.0"	"80-84 years"	"80-84"	22	49947616	0.0	0.0	0.1	0.0	0.0%
	"Diverticular disease of small intestine with perforation and abscess"	"K57.0"	"85-89 years"	"85-89"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
